Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Sunndalsøra Iii;SN63420;16.06.2012 19:00;17,1
Sunndalsøra Iii;SN63420;16.06.2012 20:00;17
Sunndalsøra Iii;SN63420;16.06.2012 21:00;16,6
Sunndalsøra Iii;SN63420;16.06.2012 22:00;15,7
Sunndalsøra Iii;SN63420;16.06.2012 23:00;14,1
Sunndalsøra Iii;SN63420;17.06.2012 00:00;14,1
Sunndalsøra Iii;SN63420;17.06.2012 01:00;13,6
Sunndalsøra Iii;SN63420;17.06.2012 02:00;13,7
Sunndalsøra Iii;SN63420;17.06.2012 03:00;12,6
Sunndalsøra Iii;SN63420;17.06.2012 04:00;12,1
Sunndalsøra Iii;SN63420;17.06.2012 05:00;12,8
Sunndalsøra Iii;SN63420;17.06.2012 06:00;12,8
Sunndalsøra Iii;SN63420;17.06.2012 07:00;14,1
Sunndalsøra Iii;SN63420;17.06.2012 08:00;15
Sunndalsøra Iii;SN63420;17.06.2012 09:00;16
Sunndalsøra Iii;SN63420;17.06.2012 10:00;17,1
Sunndalsøra Iii;SN63420;17.06.2012 11:00;16,1
Sunndalsøra Iii;SN63420;17.06.2012 12:00;15,7
Sunndalsøra Iii;SN63420;17.06.2012 13:00;16,9
Sunndalsøra Iii;SN63420;17.06.2012 14:00;17,4
Sunndalsøra Iii;SN63420;17.06.2012 15:00;17,2
Sunndalsøra Iii;SN63420;17.06.2012 16:00;16,8
Sunndalsøra Iii;SN63420;17.06.2012 17:00;15,8
Sunndalsøra Iii;SN63420;17.06.2012 18:00;15,9
Sunndalsøra Iii;SN63420;17.06.2012 19:00;15,7
Sunndalsøra Iii;SN63420;17.06.2012 20:00;14
Sunndalsøra Iii;SN63420;17.06.2012 21:00;13,1
Sunndalsøra Iii;SN63420;17.06.2012 22:00;12,6
Sunndalsøra Iii;SN63420;17.06.2012 23:00;12,5
Sunndalsøra Iii;SN63420;18.06.2012 00:00;12,4
Sunndalsøra Iii;SN63420;18.06.2012 01:00;11,3
Sunndalsøra Iii;SN63420;18.06.2012 02:00;11,2
Sunndalsøra Iii;SN63420;18.06.2012 03:00;10,5
Sunndalsøra Iii;SN63420;18.06.2012 04:00;10,5
Sunndalsøra Iii;SN63420;18.06.2012 05:00;10,9
Sunndalsøra Iii;SN63420;18.06.2012 06:00;10,7
Sunndalsøra Iii;SN63420;18.06.2012 07:00;11,3
Sunndalsøra Iii;SN63420;18.06.2012 08:00;13,1
Sunndalsøra Iii;SN63420;18.06.2012 09:00;12,2
Sunndalsøra Iii;SN63420;18.06.2012 10:00;12,7
Sunndalsøra Iii;SN63420;18.06.2012 11:00;12,8
Sunndalsøra Iii;SN63420;18.06.2012 12:00;13,9
Sunndalsøra Iii;SN63420;18.06.2012 13:00;14,2
Sunndalsøra Iii;SN63420;18.06.2012 14:00;14,4
Sunndalsøra Iii;SN63420;18.06.2012 15:00;14
Sunndalsøra Iii;SN63420;18.06.2012 16:00;12,6
Sunndalsøra Iii;SN63420;18.06.2012 17:00;11,5
Sunndalsøra Iii;SN63420;18.06.2012 18:00;11
Sunndalsøra Iii;SN63420;18.06.2012 19:00;9,9
Sunndalsøra Iii;SN63420;18.06.2012 20:00;9,6
Sunndalsøra Iii;SN63420;18.06.2012 21:00;9,3
Sunndalsøra Iii;SN63420;18.06.2012 22:00;9,2
Sunndalsøra Iii;SN63420;18.06.2012 23:00;9,2
Sunndalsøra Iii;SN63420;19.06.2012 00:00;9,2
Sunndalsøra Iii;SN63420;19.06.2012 01:00;8,9
Sunndalsøra Iii;SN63420;19.06.2012 02:00;8,9
Sunndalsøra Iii;SN63420;19.06.2012 03:00;8,9
Sunndalsøra Iii;SN63420;19.06.2012 04:00;9,3
