,Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
233,Sunndalsøra Iii,SN63420,2012-06-05 21:45:00,10.3
234,Sunndalsøra Iii,SN63420,2012-06-05 22:15:00,10.1
235,Sunndalsøra Iii,SN63420,2012-06-05 22:45:00,10.1
236,Sunndalsøra Iii,SN63420,2012-06-05 23:15:00,10.2
237,Sunndalsøra Iii,SN63420,2012-06-05 23:45:00,9.9
238,Sunndalsøra Iii,SN63420,2012-06-06 00:15:00,9.6
239,Sunndalsøra Iii,SN63420,2012-06-06 00:45:00,9.4
240,Sunndalsøra Iii,SN63420,2012-06-06 01:15:00,9.3
241,Sunndalsøra Iii,SN63420,2012-06-06 01:45:00,9.2
242,Sunndalsøra Iii,SN63420,2012-06-06 02:15:00,9.2
243,Sunndalsøra Iii,SN63420,2012-06-06 02:45:00,8.8
244,Sunndalsøra Iii,SN63420,2012-06-06 03:15:00,8.4
245,Sunndalsøra Iii,SN63420,2012-06-06 03:45:00,8.2
246,Sunndalsøra Iii,SN63420,2012-06-06 04:15:00,7.9
247,Sunndalsøra Iii,SN63420,2012-06-06 04:45:00,8.1
248,Sunndalsøra Iii,SN63420,2012-06-06 05:15:00,8.3
249,Sunndalsøra Iii,SN63420,2012-06-06 05:45:00,8.3
250,Sunndalsøra Iii,SN63420,2012-06-06 06:15:00,8.3
251,Sunndalsøra Iii,SN63420,2012-06-06 06:45:00,8.4
252,Sunndalsøra Iii,SN63420,2012-06-06 07:15:00,8.6
253,Sunndalsøra Iii,SN63420,2012-06-06 07:45:00,8.8
254,Sunndalsøra Iii,SN63420,2012-06-06 08:15:00,9
255,Sunndalsøra Iii,SN63420,2012-06-06 08:45:00,9.4
256,Sunndalsøra Iii,SN63420,2012-06-06 09:15:00,9.9
257,Sunndalsøra Iii,SN63420,2012-06-06 09:45:00,10.2
258,Sunndalsøra Iii,SN63420,2012-06-06 10:15:00,10.6
259,Sunndalsøra Iii,SN63420,2012-06-06 10:45:00,10.8
260,Sunndalsøra Iii,SN63420,2012-06-06 11:15:00,10.9
261,Sunndalsøra Iii,SN63420,2012-06-06 11:45:00,11.2
262,Sunndalsøra Iii,SN63420,2012-06-06 12:15:00,11.6
263,Sunndalsøra Iii,SN63420,2012-06-06 12:45:00,12.2
264,Sunndalsøra Iii,SN63420,2012-06-06 13:15:00,12.8
265,Sunndalsøra Iii,SN63420,2012-06-06 13:45:00,12.9
266,Sunndalsøra Iii,SN63420,2012-06-06 14:15:00,12.9
267,Sunndalsøra Iii,SN63420,2012-06-06 14:45:00,13.2
268,Sunndalsøra Iii,SN63420,2012-06-06 15:15:00,13.4
269,Sunndalsøra Iii,SN63420,2012-06-06 15:45:00,13.9
270,Sunndalsøra Iii,SN63420,2012-06-06 16:15:00,14.3
271,Sunndalsøra Iii,SN63420,2012-06-06 16:45:00,14.8
272,Sunndalsøra Iii,SN63420,2012-06-06 17:15:00,15.2
273,Sunndalsøra Iii,SN63420,2012-06-06 17:45:00,15.1
274,Sunndalsøra Iii,SN63420,2012-06-06 18:15:00,15.1
275,Sunndalsøra Iii,SN63420,2012-06-06 18:45:00,14.8
276,Sunndalsøra Iii,SN63420,2012-06-06 19:15:00,14.5
277,Sunndalsøra Iii,SN63420,2012-06-06 19:45:00,13.8
278,Sunndalsøra Iii,SN63420,2012-06-06 20:15:00,13.2
279,Sunndalsøra Iii,SN63420,2012-06-06 20:45:00,12.6
280,Sunndalsøra Iii,SN63420,2012-06-06 21:15:00,12
281,Sunndalsøra Iii,SN63420,2012-06-06 21:45:00,11.5
282,Sunndalsøra Iii,SN63420,2012-06-06 22:15:00,11
283,Sunndalsøra Iii,SN63420,2012-06-06 22:45:00,10.3
284,Sunndalsøra Iii,SN63420,2012-06-06 23:15:00,9.7
285,Sunndalsøra Iii,SN63420,2012-06-06 23:45:00,9.1
286,Sunndalsøra Iii,SN63420,2012-06-07 00:15:00,8.5
287,Sunndalsøra Iii,SN63420,2012-06-07 00:45:00,8.1
288,Sunndalsøra Iii,SN63420,2012-06-07 01:15:00,7.6
289,Sunndalsøra Iii,SN63420,2012-06-07 01:45:00,7.2
290,Sunndalsøra Iii,SN63420,2012-06-07 02:15:00,6.7
291,Sunndalsøra Iii,SN63420,2012-06-07 02:45:00,7.4
292,Sunndalsøra Iii,SN63420,2012-06-07 03:15:00,8.1
293,Sunndalsøra Iii,SN63420,2012-06-07 03:45:00,8.1
294,Sunndalsøra Iii,SN63420,2012-06-07 04:15:00,8
295,Sunndalsøra Iii,SN63420,2012-06-07 04:45:00,7.8
296,Sunndalsøra Iii,SN63420,2012-06-07 05:15:00,7.7
297,Sunndalsøra Iii,SN63420,2012-06-07 05:45:00,7.7
298,Sunndalsøra Iii,SN63420,2012-06-07 06:15:00,7.7
299,Sunndalsøra Iii,SN63420,2012-06-07 06:45:00,8.1
300,Sunndalsøra Iii,SN63420,2012-06-07 07:15:00,8.5
301,Sunndalsøra Iii,SN63420,2012-06-07 07:45:00,11.0
302,Sunndalsøra Iii,SN63420,2012-06-07 08:15:00,13.5
303,Sunndalsøra Iii,SN63420,2012-06-07 08:45:00,13.9
304,Sunndalsøra Iii,SN63420,2012-06-07 09:15:00,14.3
305,Sunndalsøra Iii,SN63420,2012-06-07 09:45:00,14.6
306,Sunndalsøra Iii,SN63420,2012-06-07 10:15:00,14.9
307,Sunndalsøra Iii,SN63420,2012-06-07 10:45:00,15.3
308,Sunndalsøra Iii,SN63420,2012-06-07 11:15:00,15.7
309,Sunndalsøra Iii,SN63420,2012-06-07 11:45:00,16.1
310,Sunndalsøra Iii,SN63420,2012-06-07 12:15:00,16.5
311,Sunndalsøra Iii,SN63420,2012-06-07 12:45:00,17.2
312,Sunndalsøra Iii,SN63420,2012-06-07 13:15:00,18
313,Sunndalsøra Iii,SN63420,2012-06-07 13:45:00,18.1
314,Sunndalsøra Iii,SN63420,2012-06-07 14:15:00,18.3
315,Sunndalsøra Iii,SN63420,2012-06-07 14:45:00,18.3
316,Sunndalsøra Iii,SN63420,2012-06-07 15:15:00,18.3
317,Sunndalsøra Iii,SN63420,2012-06-07 15:45:00,18.5
318,Sunndalsøra Iii,SN63420,2012-06-07 16:15:00,18.6
319,Sunndalsøra Iii,SN63420,2012-06-07 16:45:00,18.4
320,Sunndalsøra Iii,SN63420,2012-06-07 17:15:00,18.2
321,Sunndalsøra Iii,SN63420,2012-06-07 17:45:00,17.9
322,Sunndalsøra Iii,SN63420,2012-06-07 18:15:00,17.6
323,Sunndalsøra Iii,SN63420,2012-06-07 18:45:00,17.4
324,Sunndalsøra Iii,SN63420,2012-06-07 19:15:00,17.1
325,Sunndalsøra Iii,SN63420,2012-06-07 19:45:00,16.3
326,Sunndalsøra Iii,SN63420,2012-06-07 20:15:00,15.5
327,Sunndalsøra Iii,SN63420,2012-06-07 20:45:00,14.7
328,Sunndalsøra Iii,SN63420,2012-06-07 21:15:00,13.8
329,Sunndalsøra Iii,SN63420,2012-06-07 21:45:00,13.6
330,Sunndalsøra Iii,SN63420,2012-06-07 22:15:00,13.4
331,Sunndalsøra Iii,SN63420,2012-06-07 22:45:00,12.9
332,Sunndalsøra Iii,SN63420,2012-06-07 23:15:00,12.4
333,Sunndalsøra Iii,SN63420,2012-06-07 23:45:00,11.9
334,Sunndalsøra Iii,SN63420,2012-06-08 00:15:00,11.5
335,Sunndalsøra Iii,SN63420,2012-06-08 00:45:00,11.1
336,Sunndalsøra Iii,SN63420,2012-06-08 01:15:00,10.7
337,Sunndalsøra Iii,SN63420,2012-06-08 01:45:00,9.6
338,Sunndalsøra Iii,SN63420,2012-06-08 02:15:00,8.4
339,Sunndalsøra Iii,SN63420,2012-06-08 02:45:00,8.6
340,Sunndalsøra Iii,SN63420,2012-06-08 03:15:00,8.8
341,Sunndalsøra Iii,SN63420,2012-06-08 03:45:00,8.9
342,Sunndalsøra Iii,SN63420,2012-06-08 04:15:00,8.9
343,Sunndalsøra Iii,SN63420,2012-06-08 04:45:00,9.2
