RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K503182,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7042500,343208,7042500,343208,7046919,1303065,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503195,20.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Hunn,Voksen,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7041064,642434,7041724,343491,7046139,1303339,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503238,21.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Nei,Hann,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7040623,642657,7041264,343672,7045676,1303514,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503239,21.06.2019,Sau,Spel,,18.06.2019,19.06.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7045583,645558,7045931,347024,7050303,1306927,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503088,16.06.2019,Sau,Spel,,07.06.2019,12.06.2019,Ja,Hunn,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7040524,643426,7041093,344428,7045496,1304268,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503244,22.06.2019,Sau,Spel,,17.06.2019,19.06.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7040688,642579,7041336,343600,7045749,1303443,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K503340,24.06.2019,Sau,Spel,,24.06.2019,24.06.2019,Nei,Hunn,Åring,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7043363,342447,7043363,342447,7047792,1302315,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503341,24.06.2019,Sau,Spel,,24.06.2019,24.06.2019,Nei,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7043575,342312,7043575,342312,7048006,1302182,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503347,24.06.2019,Sau,Spel,,23.06.2019,24.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7041430,642197,7042111,343289,7046528,1303142,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K503556,01.07.2019,Sau,Spel,,10.06.2019,24.06.2019,Ja,Ukjent,Under 1 år,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7038323,640756,7039152,341564,7043590,1301378,WGS84-UTM Sone 32,Mindre god,Meråker (N),1-50,Trøndelag (N)
